Year,Receptor,Species,Methods,Raw_Text_Methods,Brain_Regions,Topic_Spec
1996,5ht1a;5ht5;5ht1a;5ht1a;5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.ANTAGONIST,(51 u'\\bway100635');(11 u'\\bfluoxetine');(12 u'\\bantagonist');(38 u'\\bssri'),(23 u'(?i)\\b(forebrains|forebrain)\\b');(4 u'(?i)\\b(presynaptics|presynaptic)\\b'),(13 u'\\bantidepress'),
2005,5ht3;5ht3b;5ht3a;5ht3a;5ht3a;5ht3b;5ht3a;5ht3a;5ht3a;5ht3a;5ht3b;5ht3b,(1 u'(?i)\\b(mice|mouse)\\b'),,,,,
2007,5ht6;5ht6;5ht6;5ht6,(4 u'(?i)\\b(rats|rat)\\b'),Method.ANTAGONIST,(12 u'\\bantagonist'),,(35 u'\\bnocicept');(9 u'\\bstress');(30 u'\\bpain');(33 u'\\blocomot');(26 u'\\bbehav'),
2006,5ht1a,(5 u'(?i)\\b(mices|mice)\\b');(1 u'(?i)\\b(mice|mouse)\\b'),Method.AGONIST;Method.ANTAGONIST,(36 u'\\bbenzodiazepine');(22 u'\\bbuspirone');(13 u'\\bagonist');(12 u'\\bantagonist');(49 u'\\bdoi'),(20 u'(?i)\\b(prefrontals|prefrontal)\\b');(19 u'(?i)\\b(cortexes|cortex)\\b'),(24 u'\\banxiolytic');(8 u'\\banxi');(26 u'\\bbehav');(13 u'\\bantidepress'),
1994,5ht2a;5ht1a;5ht2a;5ht1a;5ht1a;5ht1a;5ht1a;5ht3;5ht1a;5ht1a;5ht2c;5ht2c;5ht1a;5ht3,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST,(15 u'\\b8ohdpat');(21 u'\\bipsapirone');(13 u'\\bagonist'),(3 u'(?i)\\b(postsynaptics|postsynaptic)\\b'),(4 u'\\btreatment');(13 u'\\bantidepress'),
2005,5ht1d,,Method.AGONIST,(13 u'\\bagonist'),(4 u'(?i)\\b(presynaptics|presynaptic)\\b');(3 u'(?i)\\b(postsynaptics|postsynaptic)\\b'),(33 u'\\blocomot'),
1992,5ht1c;5ht1b;5ht1a;5ht2;5ht5;5ht1b;5ht1;5ht1c;5ht1a;5ht1;5ht2,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST,(15 u'\\b8ohdpat');(13 u'\\bagonist');(49 u'\\bdoi'),,(33 u'\\blocomot');(26 u'\\bbehav'),
2014,5ht1b;5ht1b,(6 u'(?i)\\b(rodents|rodent)\\b');(7 u'(?i)\\b(guineas|guinea)(-|\\s+)?(pigs|pig)\\b');(4 u'(?i)\\b(rats|rat)\\b');(5 u'(?i)\\b(mices|mice)\\b');(1 u'(?i)\\b(mice|mouse)\\b'),Method.PET,(35 u'\\badenosine');(19 u'\\bpositron emission tomography');(17 u'\\bpet'),,,
2007,5ht1a;5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),,(2 u'\\blabeling'),,(5 u'\\btherap');(26 u'\\bbehav');(9 u'\\bstress');(7 u'\\bdepressi');(2 u'\\bdisorder');(13 u'\\bantidepress');(4 u'\\btreatment'),
2001,5ht3;5ht3;5ht1,,,,(4 u'(?i)\\b(presynaptics|presynaptic)\\b');(8 u'(?i)\\b(centrals|central)(-|\\s+)?(nervouses|nervous)(-|\\s+)?(systems|system)\\b'),(30 u'\\bpain');(4 u'\\btreatment'),
1998,5ht1a;5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),,(38 u'\\bssri'),,(4 u'\\btreatment');(5 u'\\btherap');(13 u'\\bantidepress');(1 u'\\bpatient'),
1997,5ht2c;5ht2c;5ht2c,,,,,(4 u'\\btreatment'),
1999,5ht1a;5ht1a;5ht1b;5ht1;5ht1a;5ht1a;5ht1b,,Method.AGONIST;Method.ANTAGONIST,(15 u'\\b8ohdpat');(33 u'\\bmcpp');(12 u'\\bantagonist');(7 u'\\bpropranolol');(21 u'\\bipsapirone');(37 u'\\bpiperazine');(22 u'\\bbuspirone');(13 u'\\bagonist'),,(26 u'\\bbehav'),
1998,5ht6;5ht6;5ht6;5ht6;5ht6;5ht6;5ht6;5ht6;5ht6;5ht6,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST;Method.ANTAGONIST,(13 u'\\bagonist');(12 u'\\bantagonist'),,(4 u'\\btreatment');(26 u'\\bbehav'),
2004,5ht3,,Method.ANTAGONIST,(20 u'\\bondansetron');(12 u'\\bantagonist'),,(4 u'\\btreatment');(1 u'\\bpatient'),
2003,5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a,,,,(19 u'(?i)\\b(cortexes|cortex)\\b'),(7 u'\\bdepressi');(20 u'\\bmood');(8 u'\\banxi');(4 u'\\btreatment');(2 u'\\bdisorder'),
1996,5ht1b,(5 u'(?i)\\b(mices|mice)\\b');(1 u'(?i)\\b(mice|mouse)\\b'),Method.AGONIST,(13 u'\\bagonist'),,(33 u'\\blocomot');(26 u'\\bbehav');(4 u'\\btreatment'),
2006,5ht1a;5ht1a;5ht1a,(6 u'(?i)\\b(rodents|rodent)\\b');(3 u'(?i)\\b(males|male)\\b');(4 u'(?i)\\b(rats|rat)\\b');(5 u'(?i)\\b(mices|mice)\\b');(1 u'(?i)\\b(mice|mouse)\\b'),Method.AGONIST;Method.ANTAGONIST,(51 u'\\bway100635');(13 u'\\bagonist');(12 u'\\bantagonist'),(20 u'(?i)\\b(prefrontals|prefrontal)\\b');(19 u'(?i)\\b(cortexes|cortex)\\b'),(33 u'\\blocomot');(26 u'\\bbehav'),
2018,5ht5b;5ht5b;5ht5b;5ht5b;5ht5b;5ht5,(3 u'(?i)\\b(males|male)\\b');(5 u'(?i)\\b(mices|mice)\\b');(1 u'(?i)\\b(mice|mouse)\\b'),Method.KNOCKOUT,,,(31 u'\\brespiratory');(2 u'\\bdisorder');(26 u'\\bbehav');(1 u'\\bpatient'),
2005,5ht1a;5ht1a;5ht1a;5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST,(13 u'\\bagonist'),(19 u'(?i)\\b(cortexes|cortex)\\b');(7 u'(?i)\\b(entorhinals|entorhinal)\\b'),(30 u'\\bpain');(5 u'\\btherap');(26 u'\\bbehav'),
2019,5ht2a;5ht2a;5ht2a;5ht2a,(6 u'(?i)\\b(rodents|rodent)\\b'),Method.STAINING,,(1 u'(?i)\\b(neocortexes|neocortex)\\b'),(9 u'\\bstress');(31 u'\\brespiratory'),
2008,5ht1a;5ht1a;5ht2,(4 u'(?i)\\b(rats|rat)\\b');(3 u'(?i)\\b(males|male)\\b'),Method.AGONIST,(15 u'\\b8ohdpat');(11 u'\\bfluoxetine');(13 u'\\bagonist');(49 u'\\bdoi'),(11 u'(?i)\\b(cerebrals|cerebral)\\b');(19 u'(?i)\\b(cortexes|cortex)\\b'),(4 u'\\btreatment');(5 u'\\btherap');(26 u'\\bbehav');(1 u'\\bpatient'),
1994,5ht1a;5ht1a;5ht1a;5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST;Method.ANTAGONIST,(15 u'\\b8ohdpat');(13 u'\\bagonist');(12 u'\\bantagonist'),,(4 u'\\btreatment');(26 u'\\bbehav'),
1998,5ht1a;5ht1a;5ht1a;5ht1a;5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST;Method.ANTAGONIST,(15 u'\\b8ohdpat');(44 u'\\btetrodotoxin');(51 u'\\bway100635');(13 u'\\bagonist');(12 u'\\bantagonist'),,,
2007,5ht1a;5ht1a;5ht1a;5ht1a;5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST;Method.ANTAGONIST,(15 u'\\b8ohdpat');(13 u'\\bagonist');(12 u'\\bantagonist'),,(31 u'\\brespiratory'),
1986,5ht3;5ht1;5ht2;5ht2,,Method.ANTAGONIST,(23 u'\\bmdl');(12 u'\\bantagonist'),,,
2002,5ht2c;5ht2a;5ht2c;5ht2c;5ht2c;5ht2b;5ht2c,(7 u'(?i)\\b(guineas|guinea)(-|\\s+)?(pigs|pig)\\b'),Method.AGONIST,(33 u'\\bmcpp');(9 u'\\britanserin');(13 u'\\bagonist');(53 u'\\bketanserin'),,(17 u'\\balzheimer');(4 u'\\btreatment'),
1997,5ht1a;5ht1a;5ht1a;5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST,(13 u'\\bagonist'),,,
1997,5ht2a;5ht2;5ht2a;5ht2,,Method.PET;Method.ANTAGONIST,(23 u'\\bmdl');(19 u'\\bpositron emission tomography');(12 u'\\bantagonist');(17 u'\\bpet'),(11 u'(?i)\\b(cerebrals|cerebral)\\b');(19 u'(?i)\\b(cortexes|cortex)\\b'),(22 u'\\bschizophreni');(23 u'\\bantipsychotic');(26 u'\\bbehav');(1 u'\\bpatient'),
2002,5ht1a;5ht1a;5ht1a,(2 u'(?i)\\b(females|female)\\b');(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST,(13 u'\\bagonist'),,(9 u'\\bstress'),
2012,5ht2a;5ht1a;5ht1a;5ht2a;5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.ANTAGONIST,(11 u'\\bfluoxetine');(38 u'\\bssri');(12 u'\\bantagonist');(53 u'\\bketanserin'),,(4 u'\\btreatment');(13 u'\\bantidepress'),
2005,5ht2c;5ht2c;5ht2c;5ht2c;5ht2c;5ht1b;5ht2c,,Method.AGONIST;Method.ANTAGONIST,(33 u'\\bmcpp');(13 u'\\bagonist');(12 u'\\bantagonist'),,(33 u'\\blocomot');(26 u'\\bbehav');(4 u'\\btreatment'),
2016,5ht3,,Method.ANTAGONIST,(41 u'\\bhaloperidol');(12 u'\\bantagonist'),(9 u'(?i)\\b(cerebellums|cerebellum)\\b'),(3 u'\\bclinical');(32 u'\\bvomit');(5 u'\\btherap');(1 u'\\bpatient'),
1994,5ht1a;5ht1;5ht1a;5ht1,(4 u'(?i)\\b(rats|rat)\\b');(3 u'(?i)\\b(males|male)\\b'),Method.AGONIST,(15 u'\\b8ohdpat');(13 u'\\bagonist'),,(15 u'\\bmemory');(8 u'\\banxi');(16 u'\\blearning');(26 u'\\bbehav');(33 u'\\blocomot'),
2019,5ht1;5ht5;5ht1;5ht1;5ht1;5ht1a;5ht1a,(5 u'(?i)\\b(mices|mice)\\b');(1 u'(?i)\\b(mice|mouse)\\b'),Method.AGONIST;Method.ANTAGONIST,(15 u'\\b8ohdpat');(51 u'\\bway100635');(13 u'\\bagonist'),(8 u'(?i)\\b(centrals|central)(-|\\s+)?(nervouses|nervous)(-|\\s+)?(systems|system)\\b'),(9 u'\\bstress');(4 u'\\btreatment');(26 u'\\bbehav'),
2015,5ht7;5ht7;5ht7;5ht1a;5ht7;5ht7;5ht7;5ht7,(4 u'(?i)\\b(rats|rat)\\b'),Method.ANTAGONIST,(12 u'\\bantagonist');(34 u'\\b5ct'),(3 u'(?i)\\b(postsynaptics|postsynaptic)\\b'),(4 u'\\btreatment'),
2013,5ht2c;5ht2a;5ht2a;5ht2a,(5 u'(?i)\\b(mices|mice)\\b');(1 u'(?i)\\b(mice|mouse)\\b'),Method.AGONIST;Method.ANTAGONIST,(13 u'\\bagonist');(12 u'\\bantagonist');(53 u'\\bketanserin'),(12 u'(?i)\\b(amygdalas|amygdala)\\b'),(2 u'\\bdisorder');(9 u'\\bstress');(4 u'\\btreatment');(16 u'\\blearning'),
2008,5ht3;5ht2;5ht2c;5ht2a;5ht2a;5ht7;5ht2a;5ht2c;5ht1a;5ht2c;5ht2c;5ht1;5ht2a;5ht2a,(7 u'(?i)\\b(guineas|guinea)(-|\\s+)?(pigs|pig)\\b');(4 u'(?i)\\b(rats|rat)\\b'),Method.ANTAGONIST,(12 u'\\bantagonist'),(11 u'(?i)\\b(cerebrals|cerebral)\\b');(9 u'(?i)\\b(cerebellums|cerebellum)\\b');(8 u'(?i)\\b(centrals|central)(-|\\s+)?(nervouses|nervous)(-|\\s+)?(systems|system)\\b');(19 u'(?i)\\b(cortexes|cortex)\\b'),(12 u'\\bsleep');(24 u'\\banxiolytic');(8 u'\\banxi');(5 u'\\btherap');(23 u'\\bantipsychotic'),
2011,5ht1a;5ht1a;5ht1a;5ht1a;5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST;Method.ANTAGONIST,(15 u'\\b8ohdpat');(51 u'\\bway100635');(13 u'\\bagonist');(12 u'\\bantagonist'),,(9 u'\\bstress'),
1995,5ht4;5ht3,(4 u'(?i)\\b(rats|rat)\\b'),Method.ANTAGONIST,(23 u'\\bmdl');(28 u'\\bzacopride');(12 u'\\bantagonist'),(3 u'(?i)\\b(postsynaptics|postsynaptic)\\b'),,
2007,5ht1a;5ht1a;5ht1a;5ht1a;5ht1a,(4 u'(?i)\\b(rats|rat)\\b');(3 u'(?i)\\b(males|male)\\b'),Method.AGONIST,(13 u'\\bagonist'),,(14 u'\\bcogniti');(15 u'\\bmemory');(33 u'\\blocomot');(16 u'\\blearning');(4 u'\\btreatment'),
2006,5ht2b;5ht1b;5ht2c;5ht2;5ht2c;5ht2c,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST;Method.ANTAGONIST,(33 u'\\bmcpp');(32 u'\\blesions');(13 u'\\bagonist');(12 u'\\bantagonist'),(3 u'(?i)\\b(postsynaptics|postsynaptic)\\b'),(26 u'\\bbehav'),
2013,5ht1;5ht1,(1 u'(?i)\\b(mice|mouse)\\b'),,(11 u'\\bfluoxetine'),(23 u'(?i)\\b(forebrains|forebrain)\\b'),(5 u'\\btherap');(13 u'\\bantidepress');(4 u'\\btreatment'),
2000,5ht2a;5ht1a;5ht1a;5ht2a;5ht1a,,Method.PET;Method.ANTAGONIST,(39 u'\\bselective serotonin reuptake inhibitor');(18 u'\\bimaging');(19 u'\\bpositron emission tomography');(12 u'\\bantagonist'),(19 u'(?i)\\b(cortexes|cortex)\\b');(4 u'(?i)\\b(presynaptics|presynaptic)\\b');(3 u'(?i)\\b(postsynaptics|postsynaptic)\\b'),(14 u'\\bcogniti');(7 u'\\bdepressi');(2 u'\\bdisorder');(13 u'\\bantidepress');(1 u'\\bpatient'),
2005,5ht1a;5ht5;5ht1a,(4 u'(?i)\\b(rats|rat)\\b');(3 u'(?i)\\b(males|male)\\b'),Method.IMMUNOHISTOCHEMISTRY;Method.ANTAGONIST,(38 u'\\bssri');(3 u'\\bimmunoreactiv');(12 u'\\bantagonist');(39 u'\\bselective serotonin reuptake inhibitor'),,(26 u'\\bbehav'),
2007,5ht7;5ht7a;5ht7a;5ht7a;5ht7;5ht7a;5ht1a;5ht7;5ht7a,,Method.AGONIST;Method.ANTAGONIST,(15 u'\\b8ohdpat');(12 u'\\bantagonist');(40 u'\\bclozapine');(41 u'\\bhaloperidol');(35 u'\\badenosine');(13 u'\\bagonist');(34 u'\\b5ct'),,(22 u'\\bschizophreni');(23 u'\\bantipsychotic');(26 u'\\bbehav'),
2000,5ht1b;5ht1b;5ht1b;5ht1b;5ht1b;5ht1b;5ht1b;5ht1b,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST,(13 u'\\bagonist'),,(20 u'\\bmood');(2 u'\\bdisorder'),
1996,5ht2a;5ht2a;5ht2a,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST;Method.ANTAGONIST,(46 u'\\bspiperone');(12 u'\\bantagonist');(23 u'\\bmdl');(53 u'\\bketanserin');(9 u'\\britanserin');(13 u'\\bagonist'),(19 u'(?i)\\b(cortexes|cortex)\\b'),,
2005,5ht1a;5ht1a,,Method.ANTAGONIST,(15 u'\\b8ohdpat');(12 u'\\bantagonist'),,(26 u'\\bbehav'),
2017,5ht1;5ht1;5ht1;5ht1;5ht1;5ht1a;5ht1a;5ht1a;5ht1a;5ht1,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST,(13 u'\\bagonist'),,(3 u'\\bclinical');(34 u'\\bparkinson');(26 u'\\bbehav');(27 u'\\bdyskinesia');(4 u'\\btreatment'),
2014,5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a,(4 u'(?i)\\b(rats|rat)\\b');(8 u'(?i)\\b(primates|primate)\\b');(1 u'(?i)\\b(mice|mouse)\\b'),Method.PET;Method.AGONIST;Method.ANTAGONIST,(15 u'\\b8ohdpat');(12 u'\\bantagonist');(18 u'\\bimaging');(51 u'\\bway100635');(13 u'\\bagonist');(17 u'\\bpet'),(1 u'(?i)\\b(neocortexes|neocortex)\\b');(9 u'(?i)\\b(cerebellums|cerebellum)\\b'),(26 u'\\bbehav'),
2003,5ht7;5ht7;5ht7;5ht7;5ht7;5ht7;5ht1d;5ht1b;5ht7;5ht7;5ht7,(7 u'(?i)\\b(guineas|guinea)(-|\\s+)?(pigs|pig)\\b');(5 u'(?i)\\b(mices|mice)\\b');(1 u'(?i)\\b(mice|mouse)\\b'),Method.KNOCKOUT;Method.ANTAGONIST,(3 u'\\bimmunoreactiv');(6 u'\\bgr127935');(12 u'\\bantagonist');(34 u'\\b5ct'),,,
1998,5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.PET;Method.AGONIST;Method.ANTAGONIST,(15 u'\\b8ohdpat');(12 u'\\bantagonist');(54 u'\\bautoradiography');(18 u'\\bimaging');(51 u'\\bway100635');(13 u'\\bagonist');(17 u'\\bpet'),(19 u'(?i)\\b(cortexes|cortex)\\b');(9 u'(?i)\\b(cerebellums|cerebellum)\\b');(1 u'(?i)\\b(neocortexes|neocortex)\\b'),,
2004,5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST;Method.ANTAGONIST,(46 u'\\bspiperone');(41 u'\\bhaloperidol');(13 u'\\bagonist');(12 u'\\bantagonist');(40 u'\\bclozapine'),(11 u'(?i)\\b(cerebrals|cerebral)\\b');(9 u'(?i)\\b(cerebellums|cerebellum)\\b');(8 u'(?i)\\b(centrals|central)(-|\\s+)?(nervouses|nervous)(-|\\s+)?(systems|system)\\b');(19 u'(?i)\\b(cortexes|cortex)\\b'),,
2007,5ht4;5ht3;5ht4;5ht4,(7 u'(?i)\\b(guineas|guinea)(-|\\s+)?(pigs|pig)\\b');(4 u'(?i)\\b(rats|rat)\\b'),Method.ANTAGONIST,(12 u'\\bantagonist'),,,
1993,5ht2;5ht2;5ht1a;5ht2;5ht1a;5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST,(15 u'\\b8ohdpat');(13 u'\\bagonist'),(19 u'(?i)\\b(cortexes|cortex)\\b'),(26 u'\\bbehav');(13 u'\\bantidepress');(4 u'\\btreatment'),
1989,5ht2;5ht2;5ht1a;5ht1a;5ht2;5ht2;5ht1a,(8 u'(?i)\\b(primates|primate)\\b'),Method.AGONIST;Method.ANTAGONIST,(15 u'\\b8ohdpat');(22 u'\\bbuspirone');(12 u'\\bantagonist');(42 u'\\bneuroleptics');(41 u'\\bhaloperidol');(24 u'\\bgepirone');(9 u'\\britanserin');(13 u'\\bagonist'),,(4 u'\\btreatment');(27 u'\\bdyskinesia'),
2015,5ht1b;5ht5;5ht1a;5ht1a;5ht4;5ht5;5ht2c;5ht3;5ht2a,,Method.STIMULATION;Method.ANTAGONIST,(38 u'\\bssri');(12 u'\\bantagonist'),(19 u'(?i)\\b(cortexes|cortex)\\b');(4 u'(?i)\\b(presynaptics|presynaptic)\\b');(3 u'(?i)\\b(postsynaptics|postsynaptic)\\b'),(5 u'\\btherap');(20 u'\\bmood');(7 u'\\bdepressi');(13 u'\\bantidepress');(1 u'\\bpatient');(3 u'\\bclinical');(6 u'\\baggressi');(4 u'\\btreatment'),
1994,5ht2a;5ht2c;5ht2a;5ht2c,,Method.AGONIST;Method.ANTAGONIST,(13 u'\\bagonist');(12 u'\\bantagonist');(53 u'\\bketanserin'),(9 u'(?i)\\b(cerebellums|cerebellum)\\b'),,
1993,5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST,(15 u'\\b8ohdpat');(13 u'\\bagonist'),(23 u'(?i)\\b(forebrains|forebrain)\\b'),(26 u'\\bbehav'),
1996,5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a,,Method.AGONIST;Method.ANTAGONIST,(51 u'\\bway100635');(46 u'\\bspiperone');(13 u'\\bagonist');(12 u'\\bantagonist'),,(12 u'\\bsleep');(5 u'\\btherap');(26 u'\\bbehav'),
2008,5ht7;5ht1a;5ht1a;5ht1a;5ht7;5ht1a;5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.ANTAGONIST,(15 u'\\b8ohdpat');(12 u'\\bantagonist'),(13 u'(?i)\\b(septums|septum)\\b'),(15 u'\\bmemory');(4 u'\\btreatment');(26 u'\\bbehav');(9 u'\\bstress');(7 u'\\bdepressi');(16 u'\\blearning');(8 u'\\banxi');(2 u'\\bdisorder'),
2008,5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST;Method.ANTAGONIST,(15 u'\\b8ohdpat');(13 u'\\bagonist');(12 u'\\bantagonist'),(19 u'(?i)\\b(cortexes|cortex)\\b'),(35 u'\\bnocicept');(7 u'\\bdepressi');(30 u'\\bpain'),
2013,5ht2a;5ht2;5ht2a;5ht2;5ht2a;5ht2a,(4 u'(?i)\\b(rats|rat)\\b'),Method.ANTAGONIST,(23 u'\\bmdl');(18 u'\\bimaging');(1 u'\\bneuroimag');(12 u'\\bantagonist'),(19 u'(?i)\\b(cortexes|cortex)\\b'),(4 u'\\btreatment');(26 u'\\bbehav'),
1993,5ht1a;5ht1a;5ht1;5ht1a,,Method.AGONIST,(2 u'\\blabeling');(15 u'\\b8ohdpat');(22 u'\\bbuspirone');(13 u'\\bagonist'),,,
2006,5ht2c;5ht2a;5ht2;5ht2;5ht2;5ht2c;5ht2;5ht2a;5ht2,(4 u'(?i)\\b(rats|rat)\\b'),Method.ANTAGONIST,(11 u'\\bfluoxetine');(38 u'\\bssri');(23 u'\\bmdl');(12 u'\\bantagonist');(53 u'\\bketanserin'),,,
1994,5ht1;5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST;Method.ANTAGONIST,(15 u'\\b8ohdpat');(13 u'\\bagonist');(12 u'\\bantagonist'),(8 u'(?i)\\b(centrals|central)(-|\\s+)?(nervouses|nervous)(-|\\s+)?(systems|system)\\b'),,
2004,5ht1a;5ht1a;5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),,(15 u'\\b8ohdpat'),,(7 u'\\bdepressi');(30 u'\\bpain');(4 u'\\btreatment');(13 u'\\bantidepress'),
2012,5ht2a;5ht2a;5ht2,,,,(20 u'(?i)\\b(prefrontals|prefrontal)\\b');(19 u'(?i)\\b(cortexes|cortex)\\b');(22 u'(?i)\\b(anteriors|anterior)(-|\\s+)?(cingulates|cingulate)\\b'),(4 u'\\btreatment');(26 u'\\bbehav');(20 u'\\bmood');(9 u'\\bstress');(2 u'\\bdisorder');(1 u'\\bpatient'),
1991,5ht1a;5ht1a;5ht1;5ht1a;5ht1a;5ht1a;5ht1;5ht1;5ht3;5ht1,(4 u'(?i)\\b(rats|rat)\\b');(3 u'(?i)\\b(males|male)\\b'),,(36 u'\\bbenzodiazepine');(54 u'\\bautoradiography');(22 u'\\bbuspirone'),(15 u'(?i)\\b(substantias|substantia)(-|\\s+)?(nigras|nigra)\\b'),(4 u'\\btreatment'),
2012,5ht6;5ht2a;5ht6;5ht6;5ht6;5ht6;5ht6;5ht6;5ht6,(8 u'(?i)\\b(primates|primate)\\b'),Method.PET,(54 u'\\bautoradiography');(18 u'\\bimaging');(17 u'\\bpet'),(19 u'(?i)\\b(cortexes|cortex)\\b');(9 u'(?i)\\b(cerebellums|cerebellum)\\b');(8 u'(?i)\\b(centrals|central)(-|\\s+)?(nervouses|nervous)(-|\\s+)?(systems|system)\\b'),(3 u'\\bclinical'),
2013,5ht7;5ht1a;5ht7;5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST,(15 u'\\b8ohdpat');(13 u'\\bagonist'),,(26 u'\\bbehav');(5 u'\\btherap');(16 u'\\blearning'),
1988,5ht1a;5ht2a;5ht2;5ht2;5ht1a;5ht1b;5ht2;5ht2;5ht2,,Method.AGONIST;Method.ANTAGONIST,(15 u'\\b8ohdpat');(9 u'\\britanserin');(13 u'\\bagonist');(12 u'\\bantagonist');(34 u'\\b5ct'),(11 u'(?i)\\b(cerebrals|cerebral)\\b');(19 u'(?i)\\b(cortexes|cortex)\\b'),,
2004,5ht1a;5ht2a;5ht2a;5ht1a;5ht1a;5ht2a;5ht2a;5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.ANTAGONIST,(54 u'\\bautoradiography');(12 u'\\bantagonist'),(13 u'(?i)\\b(septums|septum)\\b');(23 u'(?i)\\b(forebrains|forebrain)\\b');(20 u'(?i)\\b(prefrontals|prefrontal)\\b');(19 u'(?i)\\b(cortexes|cortex)\\b'),(2 u'\\bdisorder');(22 u'\\bschizophreni');(25 u'\\bsocial');(26 u'\\bbehav');(29 u'\\bhyperactiv'),
1998,5ht2a;5ht2a;5ht2a;5ht2a;5ht2a,,Method.AGONIST,(13 u'\\bagonist');(53 u'\\bketanserin'),,(2 u'\\bdisorder'),
1996,5ht1a;5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST;Method.ANTAGONIST,(15 u'\\b8ohdpat');(13 u'\\bagonist');(12 u'\\bantagonist'),,(15 u'\\bmemory'),
1998,5ht3;5ht3;5ht3;5ht3,,Method.AGONIST;Method.ANTAGONIST,(23 u'\\bmdl');(30 u'\\b2methyl');(13 u'\\bagonist');(12 u'\\bantagonist'),,(7 u'\\bdepressi'),
1991,5ht1a;5ht1a;5ht1a,(3 u'(?i)\\b(males|male)\\b'),Method.AGONIST,(24 u'\\bgepirone');(13 u'\\bagonist'),,(4 u'\\btreatment'),
2004,5ht2a;5ht2a;5ht2a;5ht2a;5ht2a;5ht2a;5ht2a;5ht2a;5ht2a;5ht2a,,Method.PET,(19 u'\\bpositron emission tomography'),,(20 u'\\bmood');(7 u'\\bdepressi');(2 u'\\bdisorder');(13 u'\\bantidepress');(1 u'\\bpatient'),
1997,5ht2c;5ht2a,(6 u'(?i)\\b(rodents|rodent)\\b');(4 u'(?i)\\b(rats|rat)\\b');(5 u'(?i)\\b(mices|mice)\\b');(1 u'(?i)\\b(mice|mouse)\\b'),Method.AGONIST,(13 u'\\bagonist'),,(24 u'\\banxiolytic');(8 u'\\banxi');(25 u'\\bsocial');(13 u'\\bantidepress');(18 u'\\bavoidan'),
2018,5ht2a,,Method.AGONIST;Method.ANTAGONIST,(13 u'\\bagonist'),,(17 u'\\balzheimer');(4 u'\\btreatment');(34 u'\\bparkinson');(2 u'\\bdisorder');(1 u'\\bpatient');(14 u'\\bcogniti');(23 u'\\bantipsychotic');(19 u'\\bpsychosis'),
2001,5ht2a;5ht2a;5ht2a;5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.ANTAGONIST,(7 u'\\bpropranolol');(9 u'\\britanserin');(12 u'\\bantagonist'),,(4 u'\\btreatment');(13 u'\\bantidepress');(29 u'\\bhyperactiv'),
1997,5ht1a;5ht1a;5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.ANTAGONIST,(12 u'\\bantagonist'),(19 u'(?i)\\b(cortexes|cortex)\\b');(4 u'(?i)\\b(presynaptics|presynaptic)\\b'),(3 u'\\bclinical');(13 u'\\bantidepress'),
